	SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000001403.13	63	52	84	87	53	51
ENSMUSG00000001415.10	17172	12206	16648	16448	16156	15432
ENSMUSG00000001416.13	18854	13454	18113	17488	16330	15827
ENSMUSG00000001418.13	4326	3144	4595	4216	3931	3679
ENSMUSG00000001419.17	24805	18348	24251	22790	21200	20687
ENSMUSG00000001420.13	115	66	116	104	111	115
ENSMUSG00000001424.14	12079	9841	12727	12527	10753	11778
ENSMUSG00000001435.15	3462	2573	3447	4337	3447	3690
ENSMUSG00000001436.15	2416	1769	2584	2601	2215	2258
ENSMUSG00000001440.5	35552	25700	34401	31699	30567	29220
ENSMUSG00000001441.13	24451	19134	26244	24798	21822	22258
ENSMUSG00000001444.2	21	26	17	35	24	32
ENSMUSG00000001445.10	7700	5319	7284	6654	6964	6285
ENSMUSG00000001467.5	13309	9351	12651	12248	10648	10919
ENSMUSG00000001472.17	94092	68151	91577	94835	91281	87105
ENSMUSG00000001473.7	865	674	852	994	877	878
ENSMUSG00000001482.15	9371	6370	8795	8532	8857	8029
ENSMUSG00000001493.9	176	136	163	125	140	138
ENSMUSG00000001494.6	25	18	21	22	22	18
ENSMUSG00000001496.15	2355	1989	1901	2120	2093	1937
ENSMUSG00000001497.18	20	5	8	10	13	16
ENSMUSG00000001504.10	1493	871	1589	1342	968	1289
ENSMUSG00000001506.10	798	698	1005	1115	633	927
ENSMUSG00000001507.16	8942	7469	9870	8731	7203	7816
ENSMUSG00000001508.15	38	28	33	34	34	37
ENSMUSG00000001510.8	29	16	33	29	17	24
ENSMUSG00000001517.14	317	270	319	280	265	257
ENSMUSG00000001518.12	5757	4137	5386	6115	5800	5683
ENSMUSG00000001520.12	6629	4831	6179	7177	6801	6513
ENSMUSG00000001521.12	4010	3203	4275	4206	3591	3608
ENSMUSG00000001524.14	1128	910	1262	1137	1129	1048
ENSMUSG00000001525.10	73545	55325	71722	60022	56348	53849
ENSMUSG00000001542.7	3496	2537	3590	3197	3065	2775
ENSMUSG00000001552.14	5919	4765	7075	5445	4481	4919
ENSMUSG00000001555.10	669	427	545	636	589	591
ENSMUSG00000001558.5	91	78	123	104	73	80
ENSMUSG00000001566.9	1	0	0	0	0	0
ENSMUSG00000001569.10	5539	3811	5081	4904	4828	4581
ENSMUSG00000001576.15	17989	13243	17578	16881	16709	14889
ENSMUSG00000001583.13	36	35	44	40	22	39
ENSMUSG00000001588.12	204	108	195	140	139	169
ENSMUSG00000001604.14	77	36	79	79	42	52
ENSMUSG00000001622.15	20	18	21	26	19	20
ENSMUSG00000001627.12	4030	2651	3604	3864	4047	3681
ENSMUSG00000001630.13	4134	3024	4235	4710	4451	4109
ENSMUSG00000001632.16	5288	4178	5653	5457	4940	4791
ENSMUSG00000001642.18	5404	3571	4904	4487	4378	4098
ENSMUSG00000001655.6	0	0	1	1	0	1
ENSMUSG00000001656.3	0	0	0	1	0	0
ENSMUSG00000001657.7	24	21	44	26	17	24
ENSMUSG00000001661.5	4	1	9	2	4	7
ENSMUSG00000001663.10	1607	1102	1387	1232	1240	1069
ENSMUSG00000001665.11	953	629	857	914	827	788
ENSMUSG00000001666.8	3286	2380	3044	2779	2959	2648
ENSMUSG00000001670.13	33	113	32	19	25	31
ENSMUSG00000001672.14	133	105	135	72	80	88
ENSMUSG00000001674.11	2918	2237	2911	2921	2627	2511
ENSMUSG00000001687.15	21045	14297	20088	20358	21041	19635
ENSMUSG00000001700.10	2083	1589	2151	2213	1997	2005
ENSMUSG00000001707.8	3500	2170	2992	2550	2593	2280
ENSMUSG00000001729.14	22986	16199	21316	21691	21846	19745
ENSMUSG00000001739.14	27	19	46	48	36	32
ENSMUSG00000001741.12	393	314	551	388	332	368
ENSMUSG00000001750.16	2826	2149	2825	2397	2091	2215
ENSMUSG00000001751.9	1403	983	1366	1085	1191	1158
ENSMUSG00000001755.12	3786	2936	3752	3692	3405	3256
ENSMUSG00000001761.7	4657	3054	4161	4191	4291	3843
ENSMUSG00000001763.14	6524	4649	6517	7185	6672	6212
ENSMUSG00000001767.5	3268	2243	3093	3024	2961	2702
ENSMUSG00000001768.16	5484	3920	5640	5491	5217	4880
ENSMUSG00000001773.14	2720	1824	2791	2406	2443	2164
ENSMUSG00000001774.8	12225	9053	12897	12818	10928	10111
ENSMUSG00000001783.3	17657	12242	16149	15963	15897	14907
ENSMUSG00000001785.13	2870	1979	2758	2575	2485	2316
ENSMUSG00000001786.14	6753	5307	7011	6735	6317	6496
ENSMUSG00000001794.13	21642	16761	21840	20979	19708	18947
ENSMUSG00000001802.16	18446	14035	18224	17949	17556	16566
ENSMUSG00000001804.9	0	0	0	0	0	0
ENSMUSG00000001815.15	10	7	2	8	4	3
ENSMUSG00000001819.4	0	0	2	0	0	2
ENSMUSG00000001823.5	0	0	0	0	0	0
ENSMUSG00000001827.12	153	89	387	100	91	123
ENSMUSG00000001829.17	9287	6802	9333	8294	7969	7746
ENSMUSG00000001833.17	40577	26595	38272	35931	37337	32794
ENSMUSG00000001844.10	3456	2366	3169	3137	3209	2903
ENSMUSG00000001847.14	34431	24691	33278	32426	32106	29568
ENSMUSG00000001855.15	6709	5447	7426	6942	6415	6516
ENSMUSG00000001864.13	1547	1188	1719	1668	1477	1675
ENSMUSG00000001865.2	3	2	4	2	2	2
ENSMUSG00000001870.16	749	596	858	887	737	834
ENSMUSG00000001891.16	8706	5453	7821	7210	7468	6742
ENSMUSG00000001901.15	1452	1063	1344	977	988	973
ENSMUSG00000001909.16	9554	7315	9603	9189	8274	8098
ENSMUSG00000001910.4	16463	12026	16402	15649	15086	14446
ENSMUSG00000001911.16	9747	7217	9888	8491	8188	8404
ENSMUSG00000001918.17	475	329	552	502	398	432
ENSMUSG00000001924.15	52565	41813	56287	53919	45457	47885
ENSMUSG00000001930.17	1032	1022	1457	2243	1032	1506
ENSMUSG00000001942.8	3455	2755	3715	3480	3113	3339
ENSMUSG00000001943.8	279	239	305	329	259	286
ENSMUSG00000001946.14	1206	1331	1782	1919	1206	1670
ENSMUSG00000001948.10	580	360	498	437	423	401
ENSMUSG00000001962.8	3461	2485	3359	3218	2887	2808
ENSMUSG00000001964.14	4425	2889	3849	3680	3929	3373
ENSMUSG00000001983.7	1758	1279	1686	1570	1498	1495
ENSMUSG00000001985.9	18045	12951	16671	15405	16912	15702
ENSMUSG00000001986.16	14730	10602	15126	15477	15155	14031
ENSMUSG00000001988.9	1381	1178	1459	827	698	837
ENSMUSG00000001995.9	12905	9607	13776	15688	14062	14647
ENSMUSG00000001998.15	3037	2448	3188	3146	2905	2829
ENSMUSG00000001999.15	2068	1432	1975	1839	1803	1816
ENSMUSG00000002006.12	19058	12919	16602	13922	14420	12461
ENSMUSG00000002007.5	1110	1023	1438	1264	932	1012
ENSMUSG00000002010.17	18220	12868	17253	16932	16777	15753
ENSMUSG00000002012.13	24322	17034	21075	21150	21929	19669
ENSMUSG00000002014.12	5734	3958	4982	4722	4738	4152
ENSMUSG00000002015.5	8477	6110	8491	7351	7103	6702
ENSMUSG00000002017.10	5936	4662	6531	6637	5725	5749
ENSMUSG00000002020.15	178	132	213	141	114	111
ENSMUSG00000002028.13	46516	37869	51075	50018	39408	44047
ENSMUSG00000002031.12	8104	5472	7353	6805	6523	6151
ENSMUSG00000002032.17	10501	8388	11213	11722	10758	10419
ENSMUSG00000002033.14	24	22	24	19	16	15
ENSMUSG00000002043.17	987	673	896	834	890	776
ENSMUSG00000002052.6	29237	23411	30908	30496	27067	27106
ENSMUSG00000002055.9	1924	1718	2368	2776	2106	2332
ENSMUSG00000002057.4	87	47	66	74	66	69
ENSMUSG00000002058.13	5885	3963	5038	3981	3920	3596
ENSMUSG00000002059.18	3541	2484	3190	2349	2494	2135
ENSMUSG00000002064.10	8193	5484	7120	6811	7027	5945
ENSMUSG00000002068.16	1506	1044	1417	1379	1348	1212
ENSMUSG00000002076.12	83	78	109	100	70	83
ENSMUSG00000002083.13	678	516	588	427	410	407
ENSMUSG00000002100.15	11	7	9	4	5	7
ENSMUSG00000002102.15	15752	10752	14744	14257	13858	12982
ENSMUSG00000002103.15	14721	10696	14400	13193	12534	11975
ENSMUSG00000002104.11	32	31	27	31	36	31
ENSMUSG00000002105.15	3891	2974	4040	3834	3541	3488
ENSMUSG00000002107.18	34236	24077	33940	33496	32307	29238
ENSMUSG00000002108.10	500	345	512	413	381	348
ENSMUSG00000002109.14	1770	1289	1718	1779	1634	1597
ENSMUSG00000002111.8	243	192	245	224	249	244
ENSMUSG00000002129.11	11640	8633	11626	11786	10391	10434
ENSMUSG00000002147.18	1131	880	1291	1241	994	1046
ENSMUSG00000002190.13	2931	2481	3341	3074	2630	3031
ENSMUSG00000002204.9	285	217	307	227	254	218
ENSMUSG00000002205.16	3185	2076	3050	2701	2542	2499
ENSMUSG00000002210.11	3155	2575	3240	3374	2896	3088
ENSMUSG00000002221.11	7476	5321	6853	6432	6507	5889
ENSMUSG00000002222.14	21524	14914	21141	23768	23287	20918
ENSMUSG00000002227.15	1449	1211	1395	1141	961	1041
ENSMUSG00000002228.7	282	188	266	166	126	109
ENSMUSG00000002233.13	1469	1091	1483	1345	1244	1245
ENSMUSG00000002240.12	1	0	0	0	0	0
ENSMUSG00000002249.21	650	489	642	607	529	541
ENSMUSG00000002250.16	4071	3056	4466	4854	4139	4086
ENSMUSG00000002257.8	349	269	350	328	300	334
ENSMUSG00000002265.16	236268	190811	244561	259619	223170	237975
ENSMUSG00000002266.17	12061	9344	11251	13717	12594	11670
ENSMUSG00000002274.13	8172	5632	7580	6566	7217	6467
ENSMUSG00000002279.19	2287	1843	2374	2407	2204	2240
ENSMUSG00000002280.11	3559	2577	3412	3522	3434	3160
ENSMUSG00000002289.16	395	348	398	402	432	340
ENSMUSG00000002297.16	235	185	246	272	244	239
ENSMUSG00000002307.16	3355	2505	3213	3164	3029	2652
ENSMUSG00000002308.16	2021	1495	1886	1571	1668	1400
ENSMUSG00000002319.16	15444	12813	16748	15688	13660	13485
ENSMUSG00000002320.15	5231	3871	5160	4982	4655	4540
ENSMUSG00000002324.8	69	92	71	133	99	72
ENSMUSG00000002325.15	2032	1609	2247	2409	1739	1929
ENSMUSG00000002326.6	2290	1727	2337	2137	2011	1843
ENSMUSG00000002329.7	4775	3191	4276	3960	4010	3654
ENSMUSG00000002332.16	7780	5639	7583	6720	6329	6048
ENSMUSG00000002341.8	15962	12478	16877	13806	11971	12501
ENSMUSG00000002342.17	4607	3485	4616	4393	4266	3791
ENSMUSG00000002343.11	4535	3222	4238	3800	3757	3378
ENSMUSG00000002345.18	2681	1903	2446	2566	2546	2265
ENSMUSG00000002346.16	5887	4433	6007	6022	5465	5287
ENSMUSG00000002365.10	2399	1848	2410	2731	2703	2583
ENSMUSG00000002372.9	12810	9180	12147	11702	11283	10847
ENSMUSG00000002379.7	8992	6138	8052	7693	8146	7343
ENSMUSG00000002384.2	179	129	156	107	134	135
ENSMUSG00000002393.14	3957	2817	3590	2974	3701	2906
ENSMUSG00000002395.14	7952	4837	6438	6078	6732	5781
ENSMUSG00000002396.8	2249	1670	2378	2098	2033	1841
ENSMUSG00000002409.18	4407	3521	4449	4465	4092	3849
ENSMUSG00000002413.15	21154	15195	20915	21224	20301	18919
ENSMUSG00000002416.13	9014	6244	8625	8804	8560	7800
ENSMUSG00000002428.12	4825	3454	4858	4469	4445	4100
ENSMUSG00000002455.14	11432	8696	11710	11727	10629	10496
ENSMUSG00000002458.13	2603	1734	2200	1582	1753	1490
ENSMUSG00000002459.17	1756	1313	1664	1154	1115	1040
ENSMUSG00000002475.16	13249	8946	12362	13261	13222	12298
ENSMUSG00000002477.5	3325	2279	3251	2956	3241	2721
ENSMUSG00000002486.15	3115	2315	3140	3423	2590	2819
ENSMUSG00000002489.16	13553	9194	13141	17642	17076	15093
ENSMUSG00000002496.10	16865	13986	18557	17351	14631	15325
ENSMUSG00000002500.15	52	35	37	34	42	37
ENSMUSG00000002504.15	6439	5314	7058	6507	5846	6308
ENSMUSG00000002524.17	19327	14566	19320	18238	17700	16755
ENSMUSG00000002546.16	17754	13437	17653	17354	16037	15781
ENSMUSG00000002550.16	6990	4850	6277	5640	5889	5290
ENSMUSG00000002565.16	90	69	87	100	71	69
ENSMUSG00000002578.17	2997	2323	3014	2347	2151	2220
ENSMUSG00000002580.7	5186	3467	4662	4009	4075	3727
ENSMUSG00000002588.13	3	32	4	10	2	8
ENSMUSG00000002602.16	7742	5490	7175	7291	6694	6725
ENSMUSG00000002603.15	499	366	478	476	442	436
ENSMUSG00000002608.8	7233	5589	7593	7730	6941	6973
ENSMUSG00000002617.14	2474	1636	2089	1589	1785	1560
ENSMUSG00000002625.10	25475	21417	28571	29202	23108	24434
ENSMUSG00000002633.4	1278	1042	1238	1248	1285	1172
ENSMUSG00000002635.11	1784	1260	1553	1472	1572	1323
ENSMUSG00000002658.9	8469	6073	8223	8162	7881	7158
ENSMUSG00000002660.8	6219	4329	5454	5187	5440	4820
